identifier,creatureType,Time,CanReproduce,CanGrow,CanAttack,Energy,MaxEnergy,Size,Age,Activity,herbivores,carnivores,plants,herbivores_e,carnivores_e,plants_e
4,0,0,0,0,0,0.9994999,5,1,0.015,1,5,2,20,5,2,21
5,1,0,0,0,0,0.9994999,10,1,0.015,1,5,2,20,5,2,21
6,1,0,0,0,0,0.9994999,10,1,0.015,1,5,2,20,5,2,21
0,0,0,0,0,0,0.9993999,5,1,0.016,1,5,2,20,5,2,21.19999
1,0,0,0,0,0,0.9993999,5,1,0.016,1,5,2,20,5,2,21.19999
2,0,0,0,0,0,0.9993999,5,1,0.016,1,5,2,20,5,2,21.19999
3,0,0,0,0,0,0.9993999,5,1,0.016,1,5,2,20,5,2,21.19999
4,0,0,0,0,0,0.9993999,5,1,0.016,1,5,2,20,5,2,21.19999
5,1,0,0,0,0,0.9993999,10,1,0.016,1,5,2,20,5,2,21.19999
6,1,0,0,0,0,0.9993999,10,1,0.016,1,5,2,20,5,2,21.19999
0,0,0,0,0,0,0.9992999,5,1,0.017,1,5,2,20,5,2,21.4
1,0,0,0,0,0,0.9992999,5,1,0.017,1,5,2,20,5,2,21.4
2,0,0,0,0,0,0.9992999,5,1,0.017,1,5,2,20,5,2,21.4
3,0,0,0,0,0,0.9992999,5,1,0.017,1,5,2,20,5,2,21.4
4,0,0,0,0,0,0.9992999,5,1,0.017,1,5,2,20,5,2,21.4
5,1,0,0,0,0,0.9992999,10,1,0.017,1,5,2,20,5,2,21.4
6,1,0,0,0,0,0.9992999,10,1,0.017,1,5,2,20,5,2,21.4
0,0,0,0,0,0,0.9991999,5,1,0.018,1,5,2,20,5,2,21.6
1,0,0,0,0,0,0.9991999,5,1,0.018,1,5,2,20,5,2,21.6
2,0,0,0,0,0,0.9991999,5,1,0.018,1,5,2,20,5,2,21.6
3,0,0,0,0,0,0.9991999,5,1,0.018,1,5,2,20,5,2,21.6
4,0,0,0,0,0,0.9991999,5,1,0.018,1,5,2,20,5,2,21.6
5,1,0,0,0,0,0.9991999,10,1,0.018,1,5,2,20,5,2,21.6
6,1,0,0,0,0,0.9991999,10,1,0.018,1,5,2,20,5,2,21.6
0,0,0,0,0,0,0.9990999,5,1,0.019,1,5,2,20,5,2,21.8
1,0,0,0,0,0,0.9990999,5,1,0.019,1,5,2,20,5,2,21.8
2,0,0,0,0,0,0.9990999,5,1,0.019,1,5,2,20,5,2,21.8
3,0,0,0,0,0,0.9990999,5,1,0.019,1,5,2,20,5,2,21.8
4,0,0,0,0,0,0.9990999,5,1,0.019,1,5,2,20,5,2,21.8
5,1,0,0,0,0,0.9990999,10,1,0.019,1,5,2,20,5,2,21.8
6,1,0,0,0,0,0.9990999,10,1,0.019,1,5,2,20,5,2,21.8
0,0,0,0,0,0,0.9989998,5,1,0.02,1,5,2,20,5,2,22
1,0,0,0,0,0,0.9989998,5,1,0.02,1,5,2,20,5,2,22
2,0,0,0,0,0,0.9989998,5,1,0.02,1,5,2,20,5,2,22
3,0,0,0,0,0,0.9989998,5,1,0.02,1,5,2,20,5,2,22
4,0,0,0,0,0,0.9989998,5,1,0.02,1,5,2,20,5,2,22
5,1,0,0,0,0,0.9989998,10,1,0.02,1,5,2,20,5,2,22
6,1,0,0,0,0,0.9989998,10,1,0.02,1,5,2,20,5,2,22
0,0,0,0,0,0,0.9988998,5,1,0.021,1,5,2,20,5,2,22.2
1,0,0,0,0,0,0.9988998,5,1,0.021,1,5,2,20,5,2,22.2
2,0,0,0,0,0,0.9988998,5,1,0.021,1,5,2,20,5,2,22.2
3,0,0,0,0,0,0.9988998,5,1,0.021,1,5,2,20,5,2,22.2
4,0,0,0,0,0,0.9988998,5,1,0.021,1,5,2,20,5,2,22.2
5,1,0,0,0,0,0.9988998,10,1,0.021,1,5,2,20,5,2,22.2
6,1,0,0,0,0,0.9988998,10,1,0.021,1,5,2,20,5,2,22.2
0,0,0,0,0,0,0.9987998,5,1,0.022,1,5,2,20,5,2,22.39999
1,0,0,0,0,0,0.9987998,5,1,0.022,1,5,2,20,5,2,22.39999
2,0,0,0,0,0,0.9987998,5,1,0.022,1,5,2,20,5,2,22.39999
3,0,0,0,0,0,0.9987998,5,1,0.022,1,5,2,20,5,2,22.39999
4,0,0,0,0,0,0.9987998,5,1,0.022,1,5,2,20,5,2,22.39999
5,1,0,0,0,0,0.9987998,10,1,0.022,1,5,2,20,5,2,22.39999
6,1,0,0,0,0,0.9987998,10,1,0.022,1,5,2,20,5,2,22.39999
0,0,0,0,0,0,0.9986998,5,1,0.023,1,5,2,20,5,2,22.6
1,0,0,0,0,0,0.9986998,5,1,0.023,1,5,2,20,5,2,22.6
2,0,0,0,0,0,0.9986998,5,1,0.023,1,5,2,20,5,2,22.6
3,0,0,0,0,0,0.9986998,5,1,0.023,1,5,2,20,5,2,22.6
4,0,0,0,0,0,0.9986998,5,1,0.023,1,5,2,20,5,2,22.6
5,1,0,0,0,0,0.9986998,10,1,0.023,1,5,2,20,5,2,22.6
6,1,0,0,0,0,0.9986998,10,1,0.023,1,5,2,20,5,2,22.6
0,0,0,0,0,0,0.9985998,5,1,0.024,1,5,2,20,5,2,22.79999
1,0,0,0,0,0,0.9985998,5,1,0.024,1,5,2,20,5,2,22.79999
2,0,0,0,0,0,0.9985998,5,1,0.024,1,5,2,20,5,2,22.79999
3,0,0,0,0,0,0.9985998,5,1,0.024,1,5,2,20,5,2,22.79999
4,0,0,0,0,0,0.9985998,5,1,0.024,1,5,2,20,5,2,22.79999
5,1,0,0,0,0,0.9985998,10,1,0.024,1,5,2,20,5,2,22.79999
6,1,0,0,0,0,0.9985998,10,1,0.024,1,5,2,20,5,2,22.79999
0,0,0,0,0,0,0.9984998,5,1,0.025,1,5,2,20,5,2,22.99999
1,0,0,0,0,0,0.9984998,5,1,0.025,1,5,2,20,5,2,22.99999
2,0,0,0,0,0,0.9984998,5,1,0.025,1,5,2,20,5,2,22.99999
3,0,0,0,0,0,0.9984998,5,1,0.025,1,5,2,20,5,2,22.99999
4,0,0,0,0,0,0.9984998,5,1,0.025,1,5,2,20,5,2,22.99999
5,1,0,0,0,0,0.9984998,10,1,0.025,1,5,2,20,5,2,22.99999
6,1,0,0,0,0,0.9984998,10,1,0.025,1,5,2,20,5,2,22.99999
0,0,0,0,0,0,0.9983997,5,1,0.026,1,5,2,20,5,2,23.2
1,0,0,0,0,0,0.9983997,5,1,0.026,1,5,2,20,5,2,23.2
2,0,0,0,0,0,0.9983997,5,1,0.026,1,5,2,20,5,2,23.2
3,0,0,0,0,0,0.9983997,5,1,0.026,1,5,2,20,5,2,23.2
4,0,0,0,0,0,0.9983997,5,1,0.026,1,5,2,20,5,2,23.2
5,1,0,0,0,0,0.9983997,10,1,0.026,1,5,2,20,5,2,23.2
6,1,0,0,0,0,0.9983997,10,1,0.026,1,5,2,20,5,2,23.2
0,0,0,0,0,0,0.9982997,5,1,0.027,1,5,2,20,5,2,23.4
1,0,0,0,0,0,0.9982997,5,1,0.027,1,5,2,20,5,2,23.4
2,0,0,0,0,0,0.9982997,5,1,0.027,1,5,2,20,5,2,23.4
3,0,0,0,0,0,0.9982997,5,1,0.027,1,5,2,20,5,2,23.4
4,0,0,0,0,0,0.9982997,5,1,0.027,1,5,2,20,5,2,23.4
5,1,0,0,0,0,0.9982997,10,1,0.027,1,5,2,20,5,2,23.4
6,1,0,0,0,0,0.9982997,10,1,0.027,1,5,2,20,5,2,23.4
0,0,0,0,0,0,0.9981997,5,1,0.028,1,5,2,20,5,2,23.6
1,0,0,0,0,0,0.9981997,5,1,0.028,1,5,2,20,5,2,23.6
2,0,0,0,0,0,0.9981997,5,1,0.028,1,5,2,20,5,2,23.6
3,0,0,0,0,0,0.9981997,5,1,0.028,1,5,2,20,5,2,23.6
4,0,0,0,0,0,0.9981997,5,1,0.028,1,5,2,20,5,2,23.6
5,1,0,0,0,0,0.9981997,10,1,0.028,1,5,2,20,5,2,23.6
6,1,0,0,0,0,0.9981997,10,1,0.028,1,5,2,20,5,2,23.6
0,0,0,0,0,0,0.9980997,5,1,0.029,1,5,2,20,5,2,23.8
1,0,0,0,0,0,0.9980997,5,1,0.029,1,5,2,20,5,2,23.8
2,0,0,0,0,0,0.9980997,5,1,0.029,1,5,2,20,5,2,23.8
3,0,0,0,0,0,0.9980997,5,1,0.029,1,5,2,20,5,2,23.8
4,0,0,0,0,0,0.9980997,5,1,0.029,1,5,2,20,5,2,23.8
5,1,0,0,0,0,0.9980997,10,1,0.029,1,5,2,20,5,2,23.8
6,1,0,0,0,0,0.9980997,10,1,0.029,1,5,2,20,5,2,23.8
0,0,0,0,0,0,0.9979997,5,1,0.03,1,5,2,20,5,2,24
1,0,0,0,0,0,0.9979997,5,1,0.03,1,5,2,20,5,2,24
2,0,0,0,0,0,0.9979997,5,1,0.03,1,5,2,20,5,2,24
3,0,0,0,0,0,0.9979997,5,1,0.03,1,5,2,20,5,2,24
4,0,0,0,0,0,0.9979997,5,1,0.03,1,5,2,20,5,2,24
5,1,0,0,0,0,0.9979997,10,1,0.03,1,5,2,20,5,2,24
6,1,0,0,0,0,0.9979997,10,1,0.03,1,5,2,20,5,2,24
0,0,0,0,0,0,0.9978997,5,1,0.031,1,5,2,20,5,2,24.19999
1,0,0,0,0,0,0.9978997,5,1,0.031,1,5,2,20,5,2,24.19999
2,0,0,0,0,0,0.9978997,5,1,0.031,1,5,2,20,5,2,24.19999
3,0,0,0,0,0,0.9978997,5,1,0.031,1,5,2,20,5,2,24.19999
4,0,0,0,0,0,0.9978997,5,1,0.031,1,5,2,20,5,2,24.19999
5,1,0,0,0,0,0.9978997,10,1,0.031,1,5,2,20,5,2,24.19999
6,1,0,0,0,0,0.9978997,10,1,0.031,1,5,2,20,5,2,24.19999
0,0,0,0,0,0,0.9977996,5,1,0.032,1,5,2,20,5,2,24.39999
1,0,0,0,0,0,0.9977996,5,1,0.032,1,5,2,20,5,2,24.39999
2,0,0,0,0,0,0.9977996,5,1,0.032,1,5,2,20,5,2,24.39999
3,0,0,0,0,0,0.9977996,5,1,0.032,1,5,2,20,5,2,24.39999
4,0,0,0,0,0,0.9977996,5,1,0.032,1,5,2,20,5,2,24.39999
5,1,0,0,0,0,0.9977996,10,1,0.032,1,5,2,20,5,2,24.39999
6,1,0,0,0,0,0.9977996,10,1,0.032,1,5,2,20,5,2,24.39999
0,0,0,0,0,0,0.9976996,5,1,0.033,1,5,2,20,5,2,24.59999
1,0,0,0,0,0,0.9976996,5,1,0.033,1,5,2,20,5,2,24.59999
2,0,0,0,0,0,0.9976996,5,1,0.033,1,5,2,20,5,2,24.59999
3,0,0,0,0,0,0.9976996,5,1,0.033,1,5,2,20,5,2,24.59999
4,0,0,0,0,0,0.9976996,5,1,0.033,1,5,2,20,5,2,24.59999
5,1,0,0,0,0,0.9976996,10,1,0.033,1,5,2,20,5,2,24.59999
6,1,0,0,0,0,0.9976996,10,1,0.033,1,5,2,20,5,2,24.59999
0,0,0,0,0,0,0.9975996,5,1,0.034,1,5,2,20,5,2,24.8
1,0,0,0,0,0,0.9975996,5,1,0.034,1,5,2,20,5,2,24.8
2,0,0,0,0,0,0.9975996,5,1,0.034,1,5,2,20,5,2,24.8
3,0,0,0,0,0,0.9975996,5,1,0.034,1,5,2,20,5,2,24.8
4,0,0,0,0,0,0.9975996,5,1,0.034,1,5,2,20,5,2,24.8
5,1,0,0,0,0,0.9975996,10,1,0.034,1,5,2,20,5,2,24.8
6,1,0,0,0,0,0.9975996,10,1,0.034,1,5,2,20,5,2,24.8
0,0,0,0,0,0,0.9974996,5,1,0.035,1,5,2,20,5,2,25
1,0,0,0,0,0,0.9974996,5,1,0.035,1,5,2,20,5,2,25
2,0,0,0,0,0,0.9974996,5,1,0.035,1,5,2,20,5,2,25
3,0,0,0,0,0,0.9974996,5,1,0.035,1,5,2,20,5,2,25
4,0,0,0,0,0,0.9974996,5,1,0.035,1,5,2,20,5,2,25
5,1,0,0,0,0,0.9974996,10,1,0.035,1,5,2,20,5,2,25
6,1,0,0,0,0,0.9974996,10,1,0.035,1,5,2,20,5,2,25
0,0,0,0,0,0,0.9973996,5,1,0.03599999,1,5,2,20,5,2,25.2
1,0,0,0,0,0,0.9973996,5,1,0.03599999,1,5,2,20,5,2,25.2
2,0,0,0,0,0,0.9973996,5,1,0.03599999,1,5,2,20,5,2,25.2
3,0,0,0,0,0,0.9973996,5,1,0.03599999,1,5,2,20,5,2,25.2
4,0,0,0,0,0,0.9973996,5,1,0.03599999,1,5,2,20,5,2,25.2
5,1,0,0,0,0,0.9973996,10,1,0.03599999,1,5,2,20,5,2,25.2
6,1,0,0,0,0,0.9973996,10,1,0.03599999,1,5,2,20,5,2,25.2
0,0,0,0,0,0,0.9972996,5,1,0.03699999,1,5,2,20,5,2,25.4
1,0,0,0,0,0,0.9972996,5,1,0.03699999,1,5,2,20,5,2,25.4
2,0,0,0,0,0,0.9972996,5,1,0.03699999,1,5,2,20,5,2,25.4
3,0,0,0,0,0,0.9972996,5,1,0.03699999,1,5,2,20,5,2,25.4
4,0,0,0,0,0,0.9972996,5,1,0.03699999,1,5,2,20,5,2,25.4
5,1,0,0,0,0,0.9972996,10,1,0.03699999,1,5,2,20,5,2,25.4
6,1,0,0,0,0,0.9972996,10,1,0.03699999,1,5,2,20,5,2,25.4
0,0,0,0,0,0,0.9971995,5,1,0.03799999,1,5,2,20,5,2,25.59999
1,0,0,0,0,0,0.9971995,5,1,0.03799999,1,5,2,20,5,2,25.59999
2,0,0,0,0,0,0.9971995,5,1,0.03799999,1,5,2,20,5,2,25.59999
3,0,0,0,0,0,0.9971995,5,1,0.03799999,1,5,2,20,5,2,25.59999
4,0,0,0,0,0,0.9971995,5,1,0.03799999,1,5,2,20,5,2,25.59999
5,1,0,0,0,0,0.9971995,10,1,0.03799999,1,5,2,20,5,2,25.59999
6,1,0,0,0,0,0.9971995,10,1,0.03799999,1,5,2,20,5,2,25.59999
0,0,0,0,0,0,0.9970995,5,1,0.03899999,1,5,2,20,5,2,25.79999
1,0,0,0,0,0,0.9970995,5,1,0.03899999,1,5,2,20,5,2,25.79999
2,0,0,0,0,0,0.9970995,5,1,0.03899999,1,5,2,20,5,2,25.79999
3,0,0,0,0,0,0.9970995,5,1,0.03899999,1,5,2,20,5,2,25.79999
4,0,0,0,0,0,0.9970995,5,1,0.03899999,1,5,2,20,5,2,25.79999
5,1,0,0,0,0,0.9970995,10,1,0.03899999,1,5,2,20,5,2,25.79999
6,1,0,0,0,0,0.9970995,10,1,0.03899999,1,5,2,20,5,2,25.79999
0,0,0,0,0,0,0.9969995,5,1,0.03999999,1,5,2,20,5,2,25.99999
1,0,0,0,0,0,0.9969995,5,1,0.03999999,1,5,2,20,5,2,25.99999
2,0,0,0,0,0,0.9969995,5,1,0.03999999,1,5,2,20,5,2,25.99999
3,0,0,0,0,0,0.9969995,5,1,0.03999999,1,5,2,20,5,2,25.99999
4,0,0,0,0,0,0.9969995,5,1,0.03999999,1,5,2,20,5,2,25.99999
5,1,0,0,0,0,0.9969995,10,1,0.03999999,1,5,2,20,5,2,25.99999
6,1,0,0,0,0,0.9969995,10,1,0.03999999,1,5,2,20,5,2,25.99999
0,0,0,0,0,0,0.9968995,5,1,0.04099999,1,5,2,20,5,2,26.19999
1,0,0,0,0,0,0.9968995,5,1,0.04099999,1,5,2,20,5,2,26.19999
2,0,0,0,0,0,0.9968995,5,1,0.04099999,1,5,2,20,5,2,26.19999
3,0,0,0,0,0,0.9968995,5,1,0.04099999,1,5,2,20,5,2,26.19999
4,0,0,0,0,0,0.9968995,5,1,0.04099999,1,5,2,20,5,2,26.19999
5,1,0,0,0,0,0.9968995,10,1,0.04099999,1,5,2,20,5,2,26.19999
6,1,0,0,0,0,0.9968995,10,1,0.04099999,1,5,2,20,5,2,26.19999
0,0,0,0,0,0,0.9967995,5,1,0.04199998,1,5,2,20,5,2,26.39999
1,0,0,0,0,0,0.9967995,5,1,0.04199998,1,5,2,20,5,2,26.39999
2,0,0,0,0,0,0.9967995,5,1,0.04199998,1,5,2,20,5,2,26.39999
3,0,0,0,0,0,0.9967995,5,1,0.04199998,1,5,2,20,5,2,26.39999
4,0,0,0,0,0,0.9967995,5,1,0.04199998,1,5,2,20,5,2,26.39999
5,1,0,0,0,0,0.9967995,10,1,0.04199998,1,5,2,20,5,2,26.39999
6,1,0,0,0,0,0.9967995,10,1,0.04199998,1,5,2,20,5,2,26.39999
0,0,0,0,0,0,0.9966995,5,1,0.04299998,1,5,2,20,5,2,26.6
1,0,0,0,0,0,0.9966995,5,1,0.04299998,1,5,2,20,5,2,26.6
2,0,0,0,0,0,0.9966995,5,1,0.04299998,1,5,2,20,5,2,26.6
3,0,0,0,0,0,0.9966995,5,1,0.04299998,1,5,2,20,5,2,26.6
4,0,0,0,0,0,0.9966995,5,1,0.04299998,1,5,2,20,5,2,26.6
5,1,0,0,0,0,0.9966995,10,1,0.04299998,1,5,2,20,5,2,26.6
6,1,0,0,0,0,0.9966995,10,1,0.04299998,1,5,2,20,5,2,26.6
0,0,0,0,0,0,0.9965994,5,1,0.04399998,1,5,2,20,5,2,26.8
1,0,0,0,0,0,0.9965994,5,1,0.04399998,1,5,2,20,5,2,26.8
2,0,0,0,0,0,0.9965994,5,1,0.04399998,1,5,2,20,5,2,26.8
3,0,0,0,0,0,0.9965994,5,1,0.04399998,1,5,2,20,5,2,26.8
4,0,0,0,0,0,0.9965994,5,1,0.04399998,1,5,2,20,5,2,26.8
5,1,0,0,0,0,0.9965994,10,1,0.04399998,1,5,2,20,5,2,26.8
6,1,0,0,0,0,0.9965994,10,1,0.04399998,1,5,2,20,5,2,26.8
0,0,0,0,0,0,0.9964994,5,1,0.04499998,1,5,2,20,5,2,27
1,0,0,0,0,0,0.9964994,5,1,0.04499998,1,5,2,20,5,2,27
2,0,0,0,0,0,0.9964994,5,1,0.04499998,1,5,2,20,5,2,27
3,0,0,0,0,0,0.9964994,5,1,0.04499998,1,5,2,20,5,2,27
4,0,0,0,0,0,0.9964994,5,1,0.04499998,1,5,2,20,5,2,27
5,1,0,0,0,0,0.9964994,10,1,0.04499998,1,5,2,20,5,2,27
6,1,0,0,0,0,0.9964994,10,1,0.04499998,1,5,2,20,5,2,27
0,0,0,0,0,0,0.9963994,5,1,0.04599998,1,5,2,20,5,2,27.2
1,0,0,0,0,0,0.9963994,5,1,0.04599998,1,5,2,20,5,2,27.2
2,0,0,0,0,0,0.9963994,5,1,0.04599998,1,5,2,20,5,2,27.2
3,0,0,0,0,0,0.9963994,5,1,0.04599998,1,5,2,20,5,2,27.2
4,0,0,0,0,0,0.9963994,5,1,0.04599998,1,5,2,20,5,2,27.2
5,1,0,0,0,0,0.9963994,10,1,0.04599998,1,5,2,20,5,2,27.2
6,1,0,0,0,0,0.9963994,10,1,0.04599998,1,5,2,20,5,2,27.2
0,0,0,0,0,0,0.9962994,5,1,0.04699998,1,5,2,20,5,2,27.39999
1,0,0,0,0,0,0.9962994,5,1,0.04699998,1,5,2,20,5,2,27.39999
2,0,0,0,0,0,0.9962994,5,1,0.04699998,1,5,2,20,5,2,27.39999
3,0,0,0,0,0,0.9962994,5,1,0.04699998,1,5,2,20,5,2,27.39999
4,0,0,0,0,0,0.9962994,5,1,0.04699998,1,5,2,20,5,2,27.39999
5,1,0,0,0,0,0.9962994,10,1,0.04699998,1,5,2,20,5,2,27.39999
6,1,0,0,0,0,0.9962994,10,1,0.04699998,1,5,2,20,5,2,27.39999
0,0,0,0,0,0,0.9961994,5,1,0.04799997,1,5,2,20,5,2,27.59999
1,0,0,0,0,0,0.9961994,5,1,0.04799997,1,5,2,20,5,2,27.59999
2,0,0,0,0,0,0.9961994,5,1,0.04799997,1,5,2,20,5,2,27.59999
3,0,0,0,0,0,0.9961994,5,1,0.04799997,1,5,2,20,5,2,27.59999
4,0,0,0,0,0,0.9961994,5,1,0.04799997,1,5,2,20,5,2,27.59999
5,1,0,0,0,0,0.9961994,10,1,0.04799997,1,5,2,20,5,2,27.59999
6,1,0,0,0,0,0.9961994,10,1,0.04799997,1,5,2,20,5,2,27.59999
0,0,0,0,0,0,0.9960994,5,1,0.04899997,1,5,2,20,5,2,27.79999
1,0,0,0,0,0,0.9960994,5,1,0.04899997,1,5,2,20,5,2,27.79999
2,0,0,0,0,0,0.9960994,5,1,0.04899997,1,5,2,20,5,2,27.79999
3,0,0,0,0,0,0.9960994,5,1,0.04899997,1,5,2,20,5,2,27.79999
4,0,0,0,0,0,0.9960994,5,1,0.04899997,1,5,2,20,5,2,27.79999
5,1,0,0,0,0,0.9960994,10,1,0.04899997,1,5,2,20,5,2,27.79999
6,1,0,0,0,0,0.9960994,10,1,0.04899997,1,5,2,20,5,2,27.79999
0,0,0,0,0,0,0.9959993,5,1,0.04999997,1,5,2,20,5,2,27.99999
1,0,0,0,0,0,0.9959993,5,1,0.04999997,1,5,2,20,5,2,27.99999
2,0,0,0,0,0,0.9959993,5,1,0.04999997,1,5,2,20,5,2,27.99999
3,0,0,0,0,0,0.9959993,5,1,0.04999997,1,5,2,20,5,2,27.99999
4,0,0,0,0,0,0.9959993,5,1,0.04999997,1,5,2,20,5,2,27.99999
5,1,0,0,0,0,0.9959993,10,1,0.04999997,1,5,2,20,5,2,27.99999
6,1,0,0,0,0,0.9959993,10,1,0.04999997,1,5,2,20,5,2,27.99999
0,0,0,0,0,0,0.9958993,5,1,0.05099997,1,5,2,20,5,2,28.2
1,0,0,0,0,0,0.9958993,5,1,0.05099997,1,5,2,20,5,2,28.2
2,0,0,0,0,0,0.9958993,5,1,0.05099997,1,5,2,20,5,2,28.2
3,0,0,0,0,0,0.9958993,5,1,0.05099997,1,5,2,20,5,2,28.2
4,0,0,0,0,0,0.9958993,5,1,0.05099997,1,5,2,20,5,2,28.2
5,1,0,0,0,0,0.9958993,10,1,0.05099997,1,5,2,20,5,2,28.2
6,1,0,0,0,0,0.9958993,10,1,0.05099997,1,5,2,20,5,2,28.2
0,0,0,0,0,0,0.9957993,5,1,0.05199997,1,5,2,20,5,2,28.4
1,0,0,0,0,0,0.9957993,5,1,0.05199997,1,5,2,20,5,2,28.4
2,0,0,0,0,0,0.9957993,5,1,0.05199997,1,5,2,20,5,2,28.4
3,0,0,0,0,0,0.9957993,5,1,0.05199997,1,5,2,20,5,2,28.4
4,0,0,0,0,0,0.9957993,5,1,0.05199997,1,5,2,20,5,2,28.4
5,1,0,0,0,0,0.9957993,10,1,0.05199997,1,5,2,20,5,2,28.4
6,1,0,0,0,0,0.9957993,10,1,0.05199997,1,5,2,20,5,2,28.4
0,0,0,0,0,0,0.9956993,5,1,0.05299997,1,5,2,20,5,2,28.6
1,0,0,0,0,0,0.9956993,5,1,0.05299997,1,5,2,20,5,2,28.6
2,0,0,0,0,0,0.9956993,5,1,0.05299997,1,5,2,20,5,2,28.6
3,0,0,0,0,0,0.9956993,5,1,0.05299997,1,5,2,20,5,2,28.6
4,0,0,0,0,0,0.9956993,5,1,0.05299997,1,5,2,20,5,2,28.6
5,1,0,0,0,0,0.9956993,10,1,0.05299997,1,5,2,20,5,2,28.6
6,1,0,0,0,0,0.9956993,10,1,0.05299997,1,5,2,20,5,2,28.6
0,0,0,0,0,0,0.9955993,5,1,0.05399996,1,5,2,20,5,2,28.79998
1,0,0,0,0,0,0.9955993,5,1,0.05399996,1,5,2,20,5,2,28.79998
2,0,0,0,0,0,0.9955993,5,1,0.05399996,1,5,2,20,5,2,28.79998
3,0,0,0,0,0,0.9955993,5,1,0.05399996,1,5,2,20,5,2,28.79998
4,0,0,0,0,0,0.9955993,5,1,0.05399996,1,5,2,20,5,2,28.79998
5,1,0,0,0,0,0.9955993,10,1,0.05399996,1,5,2,20,5,2,28.79998
6,1,0,0,0,0,0.9955993,10,1,0.05399996,1,5,2,20,5,2,28.79998
0,0,0,0,0,0,0.9954993,5,1,0.05499996,1,5,2,20,5,2,28.99999
1,0,0,0,0,0,0.9954993,5,1,0.05499996,1,5,2,20,5,2,28.99999
2,0,0,0,0,0,0.9954993,5,1,0.05499996,1,5,2,20,5,2,28.99999
3,0,0,0,0,0,0.9954993,5,1,0.05499996,1,5,2,20,5,2,28.99999
4,0,0,0,0,0,0.9954993,5,1,0.05499996,1,5,2,20,5,2,28.99999
5,1,0,0,0,0,0.9954993,10,1,0.05499996,1,5,2,20,5,2,28.99999
6,1,0,0,0,0,0.9954993,10,1,0.05499996,1,5,2,20,5,2,28.99999
0,0,0,0,0,0,0.9953992,5,1,0.05599996,1,5,2,20,5,2,29.19999
1,0,0,0,0,0,0.9953992,5,1,0.05599996,1,5,2,20,5,2,29.19999
2,0,0,0,0,0,0.9953992,5,1,0.05599996,1,5,2,20,5,2,29.19999
3,0,0,0,0,0,0.9953992,5,1,0.05599996,1,5,2,20,5,2,29.19999
4,0,0,0,0,0,0.9953992,5,1,0.05599996,1,5,2,20,5,2,29.19999
5,1,0,0,0,0,0.9953992,10,1,0.05599996,1,5,2,20,5,2,29.19999
